Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-10-11,26.153497695922848,26.206619221371575,26.153497695922848,26.15349769592285,467100,11,0,41,10,1993
1993-10-12,26.188903808593754,26.2066109781736,26.171196639013903,26.18890380859375,26200,12,1,41,10,1993
1993-10-13,26.2066109781736,26.2066109781736,26.153489469434057,26.18890380859375,139100,13,2,41,10,1993
1993-10-14,26.295142148301824,26.525335311889652,26.22431348258249,26.52533531188965,108100,14,3,41,10,1993
1993-10-15,26.649286927454973,26.720115597029604,26.578458257880342,26.666994094848633,1502500,15,4,41,10,1993
1993-10-18,26.649291937582976,26.649291937582976,26.560756083969743,26.59617042541504,722400,18,0,42,10,1993
1993-10-19,26.560766116474237,26.613887648707188,26.40140151977539,26.40140151977539,880100,19,1,42,10,1993
1993-10-20,26.489925325755216,26.489925325755216,26.383682309742827,26.436803817749023,230400,20,2,42,10,1993
1993-10-21,26.45452305200834,26.45452305200834,26.365987164953427,26.40140151977539,56200,21,3,42,10,1993
1993-10-22,26.43681515387769,26.54305821544719,26.277450561523438,26.277450561523438,390700,22,4,42,10,1993
1993-10-25,26.2951527103301,26.38368857804165,26.22432401616086,26.34827423095703,114500,25,0,43,10,1993
1993-10-26,26.330562591552734,26.348269762091775,26.242026738857533,26.330562591552734,186200,26,1,43,10,1993
1993-10-27,26.2951527103301,26.36598140449934,26.2951527103301,26.34827423095703,118400,27,2,43,10,1993
1993-10-28,26.383682426569695,26.613875628949163,26.383682426569695,26.543046951293945,129600,28,3,43,10,1993
1993-10-29,26.525339781880138,26.56075412070775,26.50763261246633,26.543046951293945,80700,29,4,43,10,1993
1993-11-01,26.507640922378872,26.631591147132816,26.507640922378872,26.61388397216797,36400,1,0,44,11,1993
1993-11-02,26.57846325469239,26.63158476686033,26.43680588891122,26.59617042541504,262100,2,1,44,11,1993
1993-11-03,26.578471913662455,26.578471913662455,26.135792501376272,26.259742736816406,479100,3,2,44,11,1993
1993-11-04,26.259734180401033,26.259734180401033,25.958712278130758,25.97641944885254,130400,4,3,44,11,1993
1993-11-05,25.90558205789594,26.100360870361325,25.79933906927846,26.100360870361328,363200,5,4,44,11,1993
1993-11-08,26.11807888439354,26.206614745018605,26.04725019589349,26.135786056518555,367600,8,0,45,11,1993
1993-11-09,26.31286227226903,26.330569447418604,26.135790520773273,26.15349769592285,246900,9,1,45,11,1993
1993-11-10,26.15349532199162,26.34827423095703,26.082666627822384,26.34827423095703,46500,10,2,45,11,1993
1993-11-11,26.34827926923644,26.419107976949437,26.259743384595186,26.277450561523438,88900,11,3,45,11,1993
1993-11-12,26.33057281013146,26.489937406830308,26.312865632720477,26.40140151977539,108200,12,4,45,11,1993
1993-11-15,26.454514753098454,26.454514753098454,26.3128573782492,26.383686065673828,243300,15,0,46,11,1993
1993-11-16,26.436812138987445,26.525348013531946,26.33056908953405,26.507640838623047,492600,16,1,46,11,1993
1993-11-17,26.525342783726163,26.525342783726163,26.295149555295964,26.365978240966797,39600,17,2,46,11,1993
1993-11-18,26.330576560794302,26.383698100594156,26.224333481194595,26.295162200927734,240800,18,3,46,11,1993
1993-11-19,26.206611036128198,26.27743971460422,26.188903866509193,26.24202537536621,106000,19,4,46,11,1993
1993-11-22,26.171204177846086,26.18891135252663,25.994132431040633,26.08266830444336,165300,22,0,47,11,1993
1993-11-23,26.224315643310547,26.242022811199345,26.08265830020016,26.224315643310547,89700,23,1,47,11,1993
1993-11-24,26.295148250474654,26.348269762091775,26.259733909396573,26.330562591552734,77200,24,2,47,11,1993
1993-11-26,26.40139575158396,26.40139575158396,26.33056705741472,26.34827423095703,1019800,26,4,47,11,1993
1993-11-29,26.419097071556266,26.47221858041328,26.24202537536621,26.24202537536621,517500,29,0,48,11,1993
